Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2019-01-05 04:30:00,2019-01-05 04:45:00,6257.200
2019-01-05 04:45:00,2019-01-05 05:00:00,6296.400
2019-01-05 05:00:00,2019-01-05 05:15:00,6399.600
2019-01-05 05:15:00,2019-01-05 05:30:00,6457.200
2019-01-05 05:30:00,2019-01-05 05:45:00,6483.600
2019-01-05 05:45:00,2019-01-05 06:00:00,6538.800
2019-01-05 06:00:00,2019-01-05 06:15:00,6614.400
2019-01-05 06:15:00,2019-01-05 06:30:00,6751.200
2019-01-05 06:30:00,2019-01-05 06:45:00,6840.400
2019-01-05 06:45:00,2019-01-05 07:00:00,6938.400
2019-01-05 07:00:00,2019-01-05 07:15:00,7301.200
2019-01-05 07:15:00,2019-01-05 07:30:00,7480.400
2019-01-05 07:30:00,2019-01-05 07:45:00,7577.600
2019-01-05 07:45:00,2019-01-05 08:00:00,7652.000
2019-01-05 08:00:00,2019-01-05 08:15:00,7797.200
2019-01-05 08:15:00,2019-01-05 08:30:00,7901.600
2019-01-05 08:30:00,2019-01-05 08:45:00,8025.200
2019-01-05 08:45:00,2019-01-05 09:00:00,8133.600
2019-01-05 09:00:00,2019-01-05 09:15:00,8296.000
2019-01-05 09:15:00,2019-01-05 09:30:00,8412.400
2019-01-05 09:30:00,2019-01-05 09:45:00,8475.200
2019-01-05 09:45:00,2019-01-05 10:00:00,8520.400
2019-01-05 10:00:00,2019-01-05 10:15:00,8604.000
2019-01-05 10:15:00,2019-01-05 10:30:00,8671.200
2019-01-05 10:30:00,2019-01-05 10:45:00,8714.400
2019-01-05 10:45:00,2019-01-05 11:00:00,8760.000
2019-01-05 11:00:00,2019-01-05 11:15:00,8774.000
2019-01-05 11:15:00,2019-01-05 11:30:00,8796.400
2019-01-05 11:30:00,2019-01-05 11:45:00,8791.600
2019-01-05 11:45:00,2019-01-05 12:00:00,8825.200
2019-01-05 12:00:00,2019-01-05 12:15:00,8823.600
2019-01-05 12:15:00,2019-01-05 12:30:00,8762.400
2019-01-05 12:30:00,2019-01-05 12:45:00,8697.600
2019-01-05 12:45:00,2019-01-05 13:00:00,8645.600
2019-01-05 13:00:00,2019-01-05 13:15:00,8642.800
2019-01-05 13:15:00,2019-01-05 13:30:00,8522.800
